cell_idx,R_lo,R_hi,sigma_R,eps_abs,eps_floor,extremeR,gamma_bc,option_beta,ac2_N,ac2_LOSS,ac2_eliminated,ac2_first_loss_stamp,ac1_N,ac1_recovered,ac1_wilson_ub_pct,b6_rescue,b6_regress_correct_to_CW,b6_regress_abstain_to_CW,b6_regress_CW_worse_delta,b6_no_change_correct,b6_no_change_CW_same_or_better,alpha_commits,beta_fires,elapsed_ms
3722,0.4,1.1,0.3,0.02,0.08,1,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3723,0.4,1.1,0.3,0.02,0.08,1,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3724,0.4,1.1,0.3,0.02,0.08,1,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3725,0.4,1.1,0.3,0.02,0.08,1,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3726,0.4,1.1,0.3,0.02,0.08,1,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3727,0.4,1.1,0.3,0.02,0.08,1,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3728,0.4,1.1,0.3,0.02,0.1,0,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3729,0.4,1.1,0.3,0.02,0.1,0,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3730,0.4,1.1,0.3,0.02,0.1,0,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3731,0.4,1.1,0.3,0.02,0.1,0,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3732,0.4,1.1,0.3,0.02,0.1,0,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3733,0.4,1.1,0.3,0.02,0.1,0,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3734,0.4,1.1,0.3,0.02,0.1,0,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3735,0.4,1.1,0.3,0.02,0.1,0,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3736,0.4,1.1,0.3,0.02,0.1,1,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3737,0.4,1.1,0.3,0.02,0.1,1,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3738,0.4,1.1,0.3,0.02,0.1,1,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3739,0.4,1.1,0.3,0.02,0.1,1,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3740,0.4,1.1,0.3,0.02,0.1,1,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3741,0.4,1.1,0.3,0.02,0.1,1,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3742,0.4,1.1,0.3,0.02,0.1,1,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
